attack_rate,n_malicious_clients,n_accepted_clients,n_rejected_clients,ACC,t_acc,o_acc,TPR,FPR,true_positives,false_positives,attack_rate_num
10%,1,9.033333333333333,0.9666666666666667,0.9047000000000001,0.9729,0.89288,0.9666666666666667,0.0,0.9666666666666667,0.0,10.0
20%,2,8.133333333333333,1.8666666666666667,0.904,0.9725133333333333,0.89196,0.9333333333333333,0.0,1.8666666666666667,0.0,20.0
30%,3,7.3,2.7,0.9031866666666667,0.9690766666666667,0.8916266666666667,0.9,0.0,2.7,0.0,30.0
50%,5,5.5,4.5,0.8983433333333333,0.9283366666666667,0.8911033333333334,0.9,0.0,4.5,0.0,50.0
