attack_rate,n_malicious_clients,n_accepted_clients,n_rejected_clients,ACC,t_acc,o_acc,TPR,FPR,true_positives,false_positives,attack_rate_num
10%,1,9.0,1.0,0.9967333333333334,0.99587,0.8230833333333333,1.0,0.0,1.0,0.0,10.0
20%,2,8.0,2.0,0.9966933333333333,0.9957033333333334,0.8230766666666667,1.0,0.0,2.0,0.0,20.0
30%,3,7.0,3.0,0.9967166666666666,0.9954533333333334,0.8291866666666666,1.0,0.0,3.0,0.0,30.0
50%,5,5.0,5.0,0.99665,0.9958866666666667,0.8250233333333333,1.0,0.0,5.0,0.0,50.0
