attack_rate,n_malicious_clients,n_accepted_clients,n_rejected_clients,ACC,t_acc,o_acc,TPR,FPR,true_positives,false_positives,attack_rate_num
10%,1,9.0,1.0,0.9045433333333333,0.97376,0.8926499999999999,1.0,0.0,1.0,0.0,10.0
20%,2,8.0,2.0,0.9048166666666667,0.97343,0.8927333333333334,1.0,0.0,2.0,0.0,20.0
30%,3,7.0,3.0,0.9030066666666666,0.9732566666666667,0.8909733333333333,1.0,0.0,3.0,0.0,30.0
50%,5,5.0,5.0,0.9039966666666667,0.9725833333333332,0.8917833333333333,1.0,0.0,5.0,0.0,50.0
