attack_rate,n_malicious_clients,n_accepted_clients,n_rejected_clients,ACC,t_acc,o_acc,TPR,FPR,true_positives,false_positives,attack_rate_num
10%,1,9.0,1.0,0.8993433333333333,0.9753733333333333,0.8869033333333333,1.0,0.0,1.0,0.0,10.0
20%,2,8.0,2.0,0.89781,0.9773233333333333,0.8858333333333334,1.0,0.0,2.0,0.0,20.0
30%,3,7.066666666666666,2.933333333333333,0.8854399999999999,0.9702066666666667,0.8662166666666666,0.9776666666666666,0.0,2.933333333333333,0.0,30.0
50%,5,4.366666666666666,5.633333333333334,0.8967966666666667,0.9734700000000001,0.8815433333333333,1.0,0.12666666666666668,5.0,0.6333333333333333,50.0
