attack_rate,ACC,t_acc,o_acc,TPR,FPR,attack_rate_num
10%,0.9964966666666667,0.99529,0.8089666666666666,1.0,0.025666666666666667,10
20%,0.9965333333333334,0.99473,0.8079933333333333,1.0,0.012,20
30%,0.9964633333333333,0.99499,0.81443,1.0,0.14233333333333334,30
50%,0.9962033333333333,0.9966033333333333,0.7531866666666667,1.0,0.41333333333333333,50
