attack_rate,n_malicious_clients,n_accepted_clients,n_rejected_clients,ACC,t_acc,o_acc,TPR,FPR,true_positives,false_positives,attack_rate_num
10%,1,9.033333333333333,0.9666666666666667,0.8565266666666667,0.9784266666666668,0.82816,0.9666666666666667,0.0,0.9666666666666667,0.0,10.0
20%,2,8.066666666666666,1.9333333333333333,0.8732166666666666,0.96056,0.8524566666666666,0.9666666666666667,0.0,1.9333333333333333,0.0,20.0
30%,3,7.1,2.9,0.8119866666666666,0.9376866666666667,0.77551,0.9666666666666667,0.0,2.9,0.0,30.0
50%,5,5.166666666666667,4.833333333333333,0.80752,0.94774,0.77303,0.9666666666666667,0.0,4.833333333333333,0.0,50.0
