attack_rate_pct,round,ACC,t_acc,o_acc,TPR,FPR,attack_rate_num,attack_rate,overall_error_percent
10,300,0.9954,0.9975,0.6346,1.0,0.0,10,10%,0.46000000000000485
20,300,0.9969,0.9965,0.7885,1.0,0.0,20,20%,0.30999999999999917
30,300,0.997,0.995,0.8269,1.0,0.0,30,30%,0.30000000000000027
50,300,0.9952,0.9841,0.8654,1.0,0.0,50,50%,0.48000000000000265
