attack_rate,ACC,t_acc,o_acc,TPR,FPR,attack_rate_num
10%,0.9944500000000001,0.9972533333333333,0.5827000000000001,1.0,0.0,10
20%,0.9956066666666668,0.9961866666666667,0.7009733333333333,1.0,0.0,20
30%,0.9963633333333333,0.9943766666666666,0.7958233333333333,1.0,0.0,30
50%,0.98783,0.9491333333333334,0.8314233333333333,0.98,0.0,50
